DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES;
AUS;BOG;4;14;60644;
AUS;BOG;1;1;5318;
AUS;BOG;149;1940;8222109;
AUS;BOG;208;6935;29349317;
AUS;BOG;2791;63011;266799588;
AUS;BOG;254;3849;16768330;
AUS;BOG;704;18134;75409223;
AUS;BOG;3750;65651;276585352;
AUS;BOG;150;1714;7201422;
AUS;BOG;200;782;3430806;
AUS;BOG;293;23040;101068646;
AUS;BOG;3;414;1820332;
AUS;BOG;1650;313;1270853;
AUS;BOG;1000;180;753661;
AUS;BOG;20800;7687;32689004;
AUS;BOG;16;29805;130010271;
AUS;BOG;5;750;3045622;
AUS;BOG;4450;801;3386139;
AUS;BOG;49;173810;762446822;
AUS;BOG;0;20;82412;
AUS;BOG;35675;8596;36289179;
AUS;BOG;640;896;3782365;
AUS;BOG;630;1113;4700939;
AUS;BOG;1725;2987;12610347;
AUS;BOG;20700;2958;12486871;
AUS;BOG;2400;504;2127580;
AUS;BOG;1340;1130;4772703;
AUS;BOG;47;532;2245779;
AUS;BOG;24;80;341619;
AUS;BOG;216308;52742;222879777;
AUS;BOG;28500;5890;24866097;
AUS;BOG;45000;8855;36791993;
AUS;BOG;1620;820;3490115;
AUS;BOG;5670;1795;7635903;
AUS;BOG;92;1325;5581562;
AUS;BOG;20775;4729;20014696;
AUS;BOG;107;697;3038501;
AUS;BOG;7750;1472;6261202;
AUS;BOG;450;292;1228947;
AUS;BOG;100;363986;1525817517;
AUS;BOG;744;18677;79361419;
AUT;BOG;12480;2121;9014678;
AUT;BOG;34560;5875;24963724;
AUT;BOG;19152;3700;15736815;
AUT;BOG;72240;10598;45031751;
AUT;BOG;520;99;421500;
AUT;BOG;22890;4132;17558567;
AUT;BOG;28960;4614;19604113;
AUT;BOG;97860;15101;64154490;
AUT;BOG;240;48;203952;
AUT;BOG;16270;2974;12639925;
AUT;BOG;175;3463;14715349;
AZE;BOG;9140;5970;25304194;
AZE;BOG;64;153;673790;
AZE;BOG;10450;1815;7667967;
AZE;BOG;4;4549;19331760;
BHS;BOG;1;1000;4187010;
BHS;BOG;8;1235;5250941;
BHS;BOG;124;9269;39394259;
BHS;BOG;927;10978;46656248;
BHS;BOG;8;265;1128043;
BHS;BOG;5;457;1944242;
BHS;BOG;1911;35462;150704788;
BHS;BOG;96;3252;13822096;
BHS;BOG;13;12900;54684725;
BHR;BOG;300;96;405829;
BHR;BOG;500;337;1401461;
BHR;BOG;220;83;351718;
BHR;BOG;3;52;219824;
BHR;BOG;3612;2210;9311310;
BHR;BOG;3455;2051;8625854;
BHR;BOG;240;67;284388;
BHR;BOG;1010;214;941377;
BHR;BOG;4;17;73339;
BHR;BOG;12;34;146974;
BHR;BOG;6;12;52403;
BHR;BOG;12;64;270400;
BHR;BOG;174;457;1927218;
BHR;BOG;15;76;322256;
BHR;BOG;9;43;182738;
BHR;BOG;18000;4410;18751716;
BHR;BOG;18700;2949;11954538;
BHR;BOG;11850;1422;5764446;
BHR;BOG;54;54;227552;
BHR;BOG;3400;1022;4302306;
BHR;BOG;10625;2656;11213067;
BHR;BOG;101225;16090;66993837;
BHR;BOG;750;90;376830;
BHR;BOG;2600;520;2177245;
BHR;BOG;2920;807;3381429;
BHR;BOG;192;2429;10170289;
BRB;BOG;26600;4567;19189774;
BRB;BOG;27000;997;4191194;
BRB;BOG;30000;870;3658524;
BRB;BOG;21000;1794;7537544;
BRB;BOG;280;5325;22480801;
BRB;BOG;105;3960;16319427;
BRB;BOG;431;18254;75218621;
BRB;BOG;959;12246;50462431;
BRB;BOG;36;2741;11294866;
BRB;BOG;723;7674;31622462;
BEL;BOG;60;236;990646;
BEL;BOG;36;242;1016689;
BEL;BOG;380;2582;10811278;
BEL;BOG;99;302;1265649;
BEL;BOG;139;1081;4528209;
BEL;BOG;207;1223;5121006;
BEL;BOG;350;1417;5935086;
BEL;BOG;1;40;164824;
BEL;BOG;45;16455;72185780;
BEL;BOG;1400;7524;31974818;
BEL;BOG;1160;8700;36959225;
BEL;BOG;140;1190;4832387;
BEL;BOG;756;3993;16594747;
BEL;BOG;155;7776;32041941;
BEL;BOG;348;59676;251958243;
BLZ;BOG;0;64;271902;
BLZ;BOG;9;135;572093;
BLZ;BOG;1;104;439097;
BLZ;BOG;12;210;886638;
BLZ;BOG;514;10563;44740422;
BLZ;BOG;15;642;2798734;
BLZ;BOG;246;12481;54412590;
BLZ;BOG;2;2251;9877222;
BLR;BOG;32458;32523;137487912;
BLR;BOG;72650;25064;103804860;
BLR;BOG;39500;7803;32317649;
BLR;BOG;66500;22300;92355711;
BLR;BOG;2650;500;2070715;
BLR;BOG;85600;16432;68052102;
BLR;BOG;7950;2763;11444841;
BLR;BOG;10000;1900;7868717;
BLR;BOG;1120;3464;15195390;
BLR;BOG;104;274;1201944;
BLR;BOG;12850;4495;18617798;
BLR;BOG;1750;332;1377025;
BLR;BOG;6400;1212;5019413;
BLR;BOG;1600;598;2478231;
BLR;BOG;400;51;207914;
BLR;BOG;12700;1612;6549712;
BLR;BOG;11225;3632;15438983;
BLR;BOG;7850;1012;4304743;
BLR;BOG;25350;2892;12290798;
BLR;BOG;12000;1632;6877199;
BLR;BOG;500;0;211;
BLR;BOG;246;446;1882739;
BLR;BOG;2;27;114821;
BOL;BOG;164;646;2730467;
BOL;BOG;683;2658;11223159;
BOL;BOG;160;1248;5269168;
BOL;BOG;250;1987;8391403;
BOL;BOG;860;2944;12430677;
BOL;BOG;180;675;2849910;
BOL;BOG;500;1854;7831174;
BOL;BOG;180;708;2990506;
BOL;BOG;253;962;4064943;
BOL;BOG;340;2556;10791662;
BOL;BOG;180;1288;5441429;
BOL;BOG;700;4515;19062736;
BOL;BOG;160;662;2796712;
BOL;BOG;250;1677;7082555;
BOL;BOG;180;1432;6049410;
BOL;BOG;643;15367;65295785;
BOL;BOG;170;5910;25112864;
BOL;BOG;50;371;1576379;
BOL;BOG;172;26660;109855729;
BOL;BOG;89;408;1682407;
BOL;BOG;99;734;3025565;
BOL;BOG;32;248;1024550;
BOL;BOG;10;64;264955;
BOL;BOG;102;372;1536908;
BOL;BOG;198;756;3118732;
BOL;BOG;66;151;622790;
BOL;BOG;13;29;120528;
BOL;BOG;132;552;2278290;
BOL;BOG;10;97;402172;
BOL;BOG;45;283;1170050;
BOL;BOG;15;48;200880;
BOL;BOG;250;1168;4814037;
BOL;BOG;160;769;3247631;
BOL;BOG;1666;4560;19254208;
BOL;BOG;204;530;2239396;
BOL;BOG;19;501;2118391;
BOL;BOG;18;358;1514632;
